Windows Server 2022 実行中のVM2上で1TBのデータを処理し、変換後にAzure Blobストレージに保存する際、公共インターネットに公開せず安全にADF統合を行うために使用すべきサービスはどれか?|Azure Data Factory 統合ランタイム (セルフホスティング済み)|Azure ファイル同期エージェント|Azure VPNゲートウェイ|Azure ExpressRoute|||||A|Self-hosted Integration Runtime はVM内で安全にデータを処理し、Azure Data Factory と連携して変換・コピーを実行。公共インターネットを経由せず、セキュアで効率的な処理が可能。他の選択肢は変換やADF統合に不十分。|Microsoft Azure Documentation: Data Factory Integration Runtime|Cloud::Azure Data Factory  Cloud::Azure Integration Runtime  Cloud::Azure Blob Storage  Security::Azure VNet
Kerberos認証を使用するレガシーアプリケーションをAzureに移行する際、オンプレミスADへの直接アクセスを禁止するセキュリティ要件を満たしつつ認証プロセスを容易にするために導入すべきAzureサービスはどれか?|Azure AD ドメイン サービス(Azure AD DS)|Azure AD アプリケーションプロキシ|Azure 仮想ネットワーク|Azure Active Directory B2B|||||A|Azure AD DSはマネージドドメインサービスを提供し、Kerberos認証をサポート。オンプレミスADにアクセスせずにユーザーを認証でき、レガシーアプリケーションの移行とセキュリティ要件を両立できる。|Microsoft Azure Documentation: Azure AD Domain Services|Security::Azure AD DS  Security::Azure Identity  Cloud::Azure
Azure Event Grid のイベントに対応し、VM上のプライベート SQL Server に安全アクセスしつつカスタム C# コードを実行するサーバーレスアーキテクチャに最適なソリューションはどれか?|VNET統合によるプレミアムプランにおけるAzure機能|消費計画におけるプライベートエンドポイントを持つAzure Logic Apps|消費計画におけるハイブリッド接続によるAzure機能|統合サービス環境(ISE)におけるサービスエンドポイントを備えたAzure Logic Apps|||||A|Azure Functions Premium Plan + VNET統合はサーバーレスで自動スケーリング可能、C#コード実行、プライベートSQL Serverへの安全アクセス、低遅延を提供。Logic AppsやConsumption Planでは性能・VNET統合が不十分。|Microsoft Azure Documentation: Azure Functions, VNET Integration|Cloud::Azure Functions  Cloud::Azure Event Grid  Cloud::Azure VNET  Cloud::Architecture::Serverless
Azure Blob ストレージにある大量のWebアクセスログを毎日Azure SQL Databaseに自動転送し、スキーマ変更に適応しつつデータ整合性と監視を確保するにはどのサービスを組み合わせるべきか?|データフローとAzureモニターを備えたAzure Data Factory|Blob トリガーおよび Azure SQL データベースを使用した Azure 関数|内蔵コネクタとAzure Data Lakeストレージを備えたAzure Logic Apps|Azure SQL Database 及び Azure Event Gridへの出力付き Azure Stream Analytics|||||A|Azure Data Factory のデータフローを使用すると大規模データを効率的に転送・変換でき、Azure Monitor と統合することで転送の成功・パフォーマンスを監視可能。他の選択肢は大規模データ転送やスキーマ適応に不十分。|Microsoft Azure Documentation: Data Factory|Cloud::Azure Data Factory  Cloud::Azure SQL Database  Cloud::Azure Blob Storage  Cloud::Azure Monitor
Azure サブスクリプション内のすべてのSQLデータベースでTDEを有効にし、非準拠データベースを自動修復するためにポリシー定義に含めるべき要素は何か?|オーナー権限を持つカスタムロール|政策課題の範囲|コントリビューター権限を持つマネージドID|主要な金庫アクセスポリシー|||||B|ポリシー割り当てのスコープを設定することで、サブスクリプション内のすべてのSQLデータベースにTDEポリシーを適用し、非準拠データベースを自動修復できる。他のオプションはTDE強制や自動修復に直接関与しない。|Microsoft Azure Documentation: Azure Policy|Security::Azure Policy  Security::Azure SQL Database  Security::Encryption
SAMLベースのLOBアプリケーションにAzure AD認証を使用し、信頼できない場所からのログインでMFAを適用するために設定すべきAzure AD機能は何か?|Azure AD エンタープライズアプリケーション|条件付きアクセスポリシー|Azure 特権型アイデンティティ管理(PIM)|Azure AD のアイデンティティ保護|||||A B|Azure AD エンタープライズアプリケーションはSAML SSOを提供し、条件付きアクセスポリシーで場所に基づくMFAを強制可能。PIMやIdentity Protectionは今回の要件には直接関与しない。|Microsoft Azure Documentation: Conditional Access and Enterprise Applications|Security::Azure AD  Security::Conditional Access  Cloud::Azure Enterprise Applications
複数の子会社テナントのユーザーが中央テナントの共有リソースにアクセスする際、各子会社のセキュリティポリシーを遵守しつつ効率的にアクセス管理を行うために推奨されるAzureソリューションは何か?|Azure AD B2B とクロステナントアクセス設定との連携|Azure AD ドメインサービスとフェデレーテッド アイデンティティ管理|条件付きアクセスポリシー付きAzure ADアプリケーションプロキシ|Azure AD アイデンティティガバナンス付き外部アイデンティティ|||||A|Azure AD B2B とクロステナントアクセス設定により、ゲストユーザーは既存資格情報で中央テナントにアクセス可能。子会社ポリシーを遵守しつつ安全で集中管理されたアクセスを実現できる。|Microsoft Azure Documentation: Azure AD B2B and Cross-Tenant Access|Security::Azure AD  Security::B2B  Cloud::Azure MultiTenant  Security::Identity Management
Azureで大規模な3Dレンダリングタスク向けに低遅延通信、効率的な並列処理、リソース利用効率最大化、運用オーバーヘッド最小化を実現するHPCソリューションに使用するサービスの組み合わせは?|Azure CycleCloud を使用して HPC ワークロードを展開し、ノード間通信に MPI を有効にします|優先度の低い仮想マシンでAzure Batchを使用し、キューの長さに基づいて自動スケーリングを有効にしてください|GPU対応ノードプールを使用してAzure Kubernetes Service(AKS)を使用してレンダーファームを作成し、Horizontal Pod Autoscalerを実装します|プレミアムSSDストレージを搭載したAzure仮想マシンスケールセットを設定し、スケーリングの意思決定のためにAzure Monitorと統合|||||A C|Azure CycleCloudにMPIを組み合わせることでノード間低遅延通信と並列処理を最適化。AKSのGPU対応ノードプールとHorizontal Pod Autoscalerによりリソース効率と自動スケーリングを実現。他の選択肢はHPC要件を満たさない。|Microsoft Azure Documentation: HPC, AKS, CycleCloud|Cloud::Azure HPC  Cloud::Azure AKS  Cloud::Azure CycleCloud  Cloud::Azure Parallel Computing
Azure Key Vault SecureVault のバックアップをコンプライアンス要件に従って復元できる正しい場所は?|米国内のすべてのAzureリージョン|東アメリカ地域のみ|東アメリカ地域内のもう一つの地域|東アメリカと同じ地政学的境界に属するすべてのAzure地域|||||B|Azure Key Vault バックアップは作成されたリージョンでのみ復元可能であり、コンプライアンス要件に従い東アメリカリージョン内で復元する必要がある。|Microsoft Azure Documentation: Key Vault Backup and Restore|Cloud::Azure KeyVault  Cloud::Azure DisasterRecovery  Cloud::Azure Compliance
異なるリージョンにある2つのAzure VNet間で、安全かつ最小遅延で通信する最良の方法は?|ネットワークセキュリティグループ(NSG)とのVNetピアリングを使用してください|トラフィック暗号化によるVNetピアリングを有効にする|VPN Gatewayを使用してIPsec/IKEを設定|Azure ExpressRoute をプライベート接続に使用してください|||||D|ExpressRouteは公共インターネットを経由せず、低遅延かつセキュアなリージョン間VNet通信を提供するため、このシナリオに最適である。|Microsoft Azure Documentation: ExpressRoute Overview|Cloud::AzureNetworking  Cloud::AzureVNet  Cloud::AzureExpressRoute
オンプレミスのアプリケーションを Azure に移行する。アプリケーションは頻繁にアクセスされるファイルに対して低遅延アクセスが必要であり、SMB プロトコルをサポートする必要がある。また、地域の停電に対する高い可用性と回復力が求められる。どの Azure ストレージソリューションを選択すべきか。|プレミアムパフォーマンス層およびジオ冗長ストレージ（GRS）を備えた Azure Files|ホットアクセス層とローカル冗長ストレージ（LRS）を備えた Azure Blob Storage|トランザクション最適化パフォーマンス層および Zone-Redundant Storage（ZRS）を備えた Azure Files|クールアクセス層および読み取りアクセス Geo-Redundant Storage（RA-GRS）を備えた Azure Blob Storage|||||A|Azure Files は SMB プロトコルをネイティブにサポートするマネージドファイル共有サービスであり、オンプレミスのファイル共有アプリケーションをそのまま移行できる。Premium 層は SSD を使用するため低遅延で高頻度アクセスに適している。また GRS を使用するとデータが別リージョンに複製されるため、地域レベルの障害にも対応できる。Blob Storage は SMB をサポートしないため不適切であり、ZRS はゾーン障害には対応できるがリージョン障害には対応できない。|Azure Storage Solutions|Azure::Files Azure::Storage Azure::Blob Cloud::Architecture Cloud::HighAvailability Networking::SMB
マイクロサービスベースの eコマースアプリケーションを設計している。要件は「ダウンタイムなしで各マイクロサービスを独立して更新できること」「オンプレミスと Azure の両方でソリューションを展開できること」「マイクロサービス間で低遅延かつ高可用性の通信を提供すること」である。このアーキテクチャに最も適した Azure サービスはどれか。|Azure Kubernetes Service（AKS）とサービスメッシュ|Azure Service Fabric によるマイクロサービスオーケストレーション|イベント駆動型ワークフローを備えた Azure Logic Apps|サーバーレスバックエンドによる Azure API Management|||||A|AKS は Kubernetes ベースのコンテナオーケストレーションサービスであり、ローリングアップデートによりダウンタイムなしでマイクロサービスを更新できる。さらに Kubernetes はオンプレミスでも実行できるためハイブリッド環境を構築できる。サービスメッシュを組み合わせることでサービス間通信のトラフィック管理、リトライ、サーキットブレーカー、可観測性などを提供し、低遅延かつ高可用性の通信を実現できる。Service Fabric は利用可能だが現在は Kubernetes が主流であり、Logic Apps と API Management はマイクロサービスの実行基盤ではない。|Azure Cloud Architecture|Azure::AKS Azure::Kubernetes Cloud::Microservices Cloud::Containers Cloud::HighAvailability Cloud::ServiceMesh
外部企業が開発したカスタムアプリケーション「App1」があり、外部開発者はアプリケーションコンポーネントに対してRBAC権限を持っている。外部開発者が引き続き権限を必要としているか確認する必要がある。ソリューションは開発者の管理者に月次レポートを送信し、確認されていない権限を自動的に取り消す必要がある。何を推奨すべきか。|Azure AD でアクセスレビューを作成する|Azure Automation を使用してカスタムスクリプトを実行する|Azure AD 条件付きアクセスを実装する|Azure AD Privileged Identity Management（PIM）レビューを作成する|||||A|Azure AD Access Reviews はユーザーやグループ、アプリケーションへのアクセス権を定期的に確認するためのアクセスガバナンス機能である。レビューを月次などのスケジュールで実行し、管理者やマネージャーに確認を依頼できる。またレビュー結果に基づき不要なアクセス権を自動的に削除する設定も可能である。Azure Automation はスクリプト実行ツールでありアクセスレビュー機能を提供しない。条件付きアクセスはログイン条件を制御する機能でありアクセス権レビューではない。PIM は特権ロール管理に特化している。|Azure Identity and Access Management|Azure::EntraID Azure::AccessReviews Security::IAM Security::RBAC Cloud::Governance
オンプレミスのファイル共有を Azure Storage に移行する予定である。ファイル共有は SMB プロトコルを使用してオンプレミス環境のアプリケーションからアクセスされる。ソリューションは低遅延と高可用性を提供する必要がある。どのストレージ層を推奨すべきか。|プレミアム|ホット|クール|アーカイブ|||||A|Azure Files Premium は SSD ベースのストレージを使用し、低遅延と高 IOPS を提供するため、高頻度アクセスのファイル共有ワークロードに適している。Hot 層は頻繁にアクセスされるデータ向けだが Standard Storage を使用するため Premium よりレイテンシが高い。Cool 層は低アクセスデータ向けであり、Archive 層は長期保存用途でデータ取得に時間がかかるためオンラインアプリケーションには適さない。|Azure Storage Solutions|Azure::Files Azure::Storage Cloud::Performance Cloud::HighAvailability Networking::SMB
オンプレミスの SQL Server 2017 を Azure に移行する。データベースはミッションクリティカルであり、高可用性が必要でフェイルオーバー時のダウンタイムを最小化する必要がある。要件は「インスタンス間の自動フェイルオーバー」「高速なフェイルオーバー」「アプリケーション接続用の仮想ネットワーク名（VNN）」である。どの構成を推奨すべきか。|Azure Virtual Machines 上の SQL Server に Always On 可用性グループと分散ネットワーク名（DNN）を使用する|ゾーン冗長バックアップを有効にした SQL Server Managed Instance|Azure Virtual Machines 上の SQL Server に Always On フェイルオーバークラスターインスタンス（FCI）と共有プレミアムディスクを使用する|Azure SQL Database Hyperscale（ジオ冗長）|||||C|SQL Server Failover Cluster Instance（FCI）は Windows Server Failover Clustering を使用してインスタンスレベルの高可用性を提供する。FCI は自動フェイルオーバーと高速フェイルオーバーをサポートし、アプリケーション接続には仮想ネットワーク名（VNN）を使用できる。Azure VM では Shared Premium Disk を使用することで複数ノードが同じストレージを共有でき、クラスタ構成を実現できる。Availability Groups は通常 DNN を使用し、Managed Instance や Azure SQL Database は VNN ベースのクラスタ接続を提供しない。|Azure High Availability and Disaster Recovery|Azure::SQLServer Azure::VirtualMachines Azure::FailoverCluster Database::HighAvailability Database::SQLServer
Azure でホストされている複数のアプリケーション間で機密構成データを管理する必要がある。要件は「保存時の暗号化」「ユーザーロールに基づくきめ細かなアクセス制御」「Azure Active Directory との統合」「シークレットの自動ローテーション」「構成データのバージョン管理」である。どの Azure サービスを使用すべきか。|Azure Key Vault|Azure App Configuration|Azure Cosmos DB||||||B|Azure Key Vault はシークレット、暗号鍵、証明書などの機密情報を安全に保存するためのサービスである。データは暗号化され、Azure Entra ID と統合された RBAC によるアクセス制御が可能である。またシークレットのバージョン管理やローテーション機能も提供される。Azure App Configuration はアプリ設定管理サービスであり機密情報管理には Key Vault を併用する必要がある。Cosmos DB はデータベースサービスでありシークレット管理用途ではない。|Azure Security and Identity|Azure::KeyVault Azure::EntraID Security::SecretsManagement Security::Encryption Cloud::Configuration
Azure 上でホストされているグローバルアプリケーションを設計する。ユーザーを最も近いアプリケーションインスタンスにルーティングし、地理的位置とリアルタイムのパフォーマンス指標を考慮したトラフィック分散を行う必要がある。また高可用性と SSL 終了も必要である。どの Azure サービスの組み合わせを使用すべきか。|Azure Traffic Manager と Azure Load Balancer|Azure Front Door と Azure Application Gateway|Azure Application Gateway と Azure Traffic Manager|Azure Front Door と Azure Load Balancer|||||B|Azure Front Door はグローバルロードバランサーとしてユーザーの地理的位置やレイテンシに基づいて最適なバックエンドへトラフィックをルーティングでき、SSL 終了もサポートする。Azure Application Gateway は Layer7 ロードバランサーとして URL ベースルーティングや WAF を提供し、リージョン内でのトラフィック分散を行う。この2つを組み合わせることでグローバルなトラフィック最適化とアプリケーションレベルのロードバランシングを同時に実現できる。|Azure Architecture Design|Azure::FrontDoor Azure::ApplicationGateway Cloud::LoadBalancing Cloud::HighAvailability Networking::Layer7
Azure App Service と Azure SQL Database で構成される多層アプリケーションを設計している。すべてのリソースは承認された Azure リージョンにのみデプロイされる必要があり、各 App Service は同じリージョンの SQL Database とペアリングされる必要がある。またこれらの要件はリソースのライフサイクル全体で継続的に監視および強制される必要がある。どのソリューションを導入すべきか。|リソースの配置およびリソース間依存関係に関するカスタム定義を含む Azure Policy|Azure Resource Manager（ARM）テンプレートと埋め込みポリシー定義によるデプロイ検証|リソースグループテンプレートとコンプライアンス追跡を備えた Azure Blueprints|地域コンプライアンスを強制する継承ポリシーを持つ Azure 管理グループ|||||A|Azure Policy は Azure リソースに対してルールを定義し、リソース作成時および既存リソースに対して継続的にコンプライアンス評価を行うサービスである。ポリシーを使用することで特定リージョンへの配置制限やリソース構成ルールを適用できる。またカスタムポリシーを作成することで App Service と SQL Database のリージョン整合性などの条件も管理できる。ARM テンプレートはデプロイのみを管理し継続的監視はできない。Blueprints は環境テンプレートであり実際のポリシー評価は Azure Policy に依存する。|Azure Governance and Compliance|Azure::Policy Azure::AppService Azure::SQLDatabase Cloud::Governance Cloud::Compliance
グローバルユーザー向けの高可用性 Web アプリケーションを Azure 上で設計する。要件は「グローバルロードバランシング」「自動フェイルオーバー」「SSL 終了」「Web Application Firewall」「URL パスベースルーティング」「トラフィック監視とログ」である。どの Azure サービスを使用すべきか。|Azure Front Door|Azure Traffic Manager|Azure Application Gateway|Azure Load Balancer|||||A|Azure Front Door は Microsoft のグローバルエッジネットワークを利用した Layer7 ロードバランサーであり、グローバルロードバランシング、自動フェイルオーバー、SSL 終了、WAF、URL パスベースルーティングを提供する。また Azure Monitor と統合されておりトラフィックの監視とログ分析も可能である。Traffic Manager は DNS ベースで SSL 終了や URL ルーティングを提供しない。Application Gateway は主にリージョン内のロードバランサーである。Load Balancer は Layer4 であり Web アプリケーション機能を提供しない。|Azure Architecture Design|Azure::FrontDoor Cloud::LoadBalancing Cloud::HighAvailability Networking::Layer7 Security::WAF
利用頻度の高い Web アプリケーションを設計している。アプリケーションは複数の Azure 仮想マシンに展開され、トラフィックの変動に対応するため自動スケーリングをサポートする必要がある。またユーザーリクエストを複数の VM に分散し、定期的なヘルスチェックによってアプリケーションの信頼性を維持する必要がある。どの構成を使用すべきか。|Azure Kubernetes Service (AKS)|Autoscale 付き Azure App Service|Azure Virtual Machine Scale Sets（負荷分散付き）|Azure Functions と Event Grid|||||C|Azure Virtual Machine Scale Sets（VMSS）は同一構成の仮想マシンをグループとして管理し、トラフィック量に応じて自動的にインスタンス数を増減できる。Azure Load Balancer と統合することでトラフィックを複数の VM に分散し、ヘルスプローブによって不健全なインスタンスを検出してトラフィックを除外できる。AKS はコンテナオーケストレーション向け、App Service は PaaS、Azure Functions はイベント駆動型であり、このシナリオの VM ベースのスケーリング要件には最適ではない。|Azure Architecture Design|Azure::VMScaleSet Azure::LoadBalancer Cloud::Scalability Cloud::HighAvailability Cloud::Compute
オンプレミスと Azure のハイブリッド環境で複数の仮想マシンを運用している。ExpressRoute によりオンプレミスと Azure が接続されている。仮想マシンへのパケットが許可されているか拒否されているかを確認するため、VM レベルでネットワークトラフィックを分析する必要がある。どのツールを使用すべきか。|Azure Network Watcher IP Flow Verify|Azure Application Gateway|Azure Network Security Group|Azure Traffic Analytics|||||A|Azure Network Watcher の IP Flow Verify は、特定の VM に対するネットワークトラフィックが許可されるか拒否されるかを確認する診断ツールである。送信元 IP、宛先 IP、ポート、プロトコルを指定すると、NSG ルールに基づいて通信が許可されるかどうかを判断できる。Application Gateway はロードバランサー、NSG はトラフィック制御ルール、Traffic Analytics はトラフィックパターン分析のためのサービスであり、パケット単位の許可・拒否を検証する機能はない。|Azure Networking|Azure::NetworkWatcher Azure::ExpressRoute Azure::NSG Networking::Troubleshooting Networking::TrafficAnalysis
オンプレミスの Hadoop Distributed File System（HDFS）ソリューションを Azure に移行する。HDFS をサポートし、Azure の分析サービスと連携できるストレージサービスが必要である。どの Azure サービスを使用すべきか。|Azure NetApp Files|Azure Data Lake Storage Gen2|Azure Blob Storage|Azure Files|||||B|Azure Data Lake Storage Gen2 は Azure Blob Storage を基盤としたデータレイクストレージであり、HDFS 互換インターフェースと階層型名前空間を提供する。これにより Hadoop ワークロードを大きく変更することなくクラウドへ移行できる。また Azure Databricks、Azure Synapse Analytics、Azure HDInsight などの Azure 分析サービスとネイティブに統合できる。Azure NetApp Files や Azure Files はファイル共有用途、Blob Storage は汎用オブジェクトストレージであり HDFS 分析ワークロードには最適ではない。|Azure Data Storage Solutions|Azure::DataLakeStorageGen2 Azure::BlobStorage Data::HDFS Data::BigData Cloud::Analytics
Azure SQL Database を使用するアプリケーションで大量データを処理している。月に1回のピークレポート期間では高いパフォーマンスが必要だが、それ以外の期間は利用率が低い。データは年間10%の割合で増加すると予想される。パフォーマンスとコスト効率のバランスを取るため、どの Azure SQL Database サービス階層を選択すべきか。|vCore ベースの Hyperscale|DTU ベースの Premium|vCore ベースの Business Critical|vCore ベースの General Purpose|||||D|Azure SQL Database の General Purpose（vCore）階層は、パフォーマンスとコスト効率のバランスを提供するサービス階層である。vCore モデルではリソースを柔軟にスケールアップまたはスケールダウンできるため、月次のピーク処理期間にパフォーマンスを確保しつつ、通常期間のコストを最適化できる。Hyperscale や Business Critical は高性能だがコストが高く、DTU Premium は柔軟なリソース管理が難しい。|Azure SQL Database Service Tiers|Azure::SQLDatabase Database::Performance Database::Scalability Cloud::CostOptimization
グローバルアプリケーション用のデータベースを設計している。高可用性を持ち、複数リージョンで低遅延の読み取りおよび書き込みが可能である必要がある。また自動スケーリング、データ整合性の維持、組み込みのジオレプリケーション機能も必要である。これらの要件を満たす最適な Azure データベースサービスはどれか。|Azure SQL Database（Active Geo-Replication）|Azure Cosmos DB（マルチリージョン書き込み）|Azure Database for MySQL（Read Replicas）|Azure SQL Managed Instance（Auto-Scaling）|||||B|Azure Cosmos DB はグローバル分散 NoSQL データベースであり、複数リージョンでの読み取りおよび書き込みをサポートする。Multi-Region Writes 機能により世界中のリージョンから同時に書き込みが可能で、低遅延アクセス、高可用性、自動スケーリング、組み込みジオレプリケーションを提供する。SQL Database や MySQL のレプリカはグローバル書き込みや自動スケーリングの点で制限がある。|Azure Database Solutions|Azure::CosmosDB Database::Distributed Database::NoSQL Cloud::GlobalArchitecture Cloud::HighAvailability
クラウドユーザーとオンプレミスユーザーが混在する企業環境で ID 管理を構成する必要がある。既存のオンプレミス Active Directory の認証情報を使用して Azure リソースへサインインできるようにする必要がある。Azure AD でオンプレミス認証情報を使用してユーザーを認証する最も安全な方法はどれか。|Azure AD Join と Seamless SSO の実装|Azure AD パススルー認証|Azure AD Identity Protection を使用した条件付きアクセス|Windows Hello for Business 認証|||||B|Azure AD Pass-through Authentication は、ユーザーが Azure にサインインする際に認証要求をオンプレミス Active Directory に転送して検証する方式である。これによりパスワードを Azure に保存することなく既存の認証情報を利用できる。Seamless SSO はログイン体験を改善する機能であり認証方式ではない。Identity Protection はリスク検出、Windows Hello for Business はパスワードレス認証であり、この要件には直接対応しない。|Azure Identity and Access Management|Azure::EntraID Azure::PassThroughAuthentication Security::IAM Security::Authentication Cloud::HybridIdentity
Azure 上で多層アプリケーション（Web サーバー、アプリケーションサーバー、データベース）を運用している。日次および月次バックアップ、ファイルレベルおよび仮想マシン全体の復元、厳格な RTO を満たすバックアップおよびディザスタリカバリー戦略を実装する必要がある。どの Azure サービスまたは組み合わせを使用すべきか。|Recovery Services Vault と Azure Blob Storage を使用した Azure Backup|Azure Site Recovery と Azure Backup（VM スナップショット）|Azure File Sync と Azure Blob Storage|Azure Managed Disks と Azure Backup（VM とファイル復元）|||||A|Azure Backup は Azure VM やデータベースなどのバックアップを管理するサービスであり、Recovery Services Vault を使用してバックアップポリシーや復元操作を集中管理できる。日次および月次のバックアップスケジュールを設定でき、仮想マシン全体の復元やファイルレベルのリカバリーをサポートする。バックアップデータは Azure ストレージ基盤（Blob Storage）に保存され、高い耐久性と可用性を提供する。|Azure Backup and Disaster Recovery|Azure::Backup Azure::RecoveryServicesVault Azure::BlobStorage Cloud::DisasterRecovery Cloud::Backup
