グローバルに分散したWebアプリケーションがAzure SQL Databaseをメインデータストアとして使用している。遠隔リージョンのユーザーから読み取り遅延が報告されている。製品カタログやユーザープロファイルなどの頻繁に読み取られる非トランザクションデータをキャッシュし、アプリケーションの複雑さを大きく増やさずに遅延とデータベース負荷を削減する必要がある。どのソリューションを推奨すべきか。|Azure Content Delivery Network (CDN)|Azure Traffic Manager|Azure Cache for Redis|Azure SQL Database Read-only Replica|Azure Table Storage||||C|Azure Cache for Redisはインメモリデータストアであり、サブミリ秒レベルの低遅延で頻繁にアクセスされるデータをキャッシュできる。製品カタログやユーザープロファイルのような読み取り頻度の高い非トランザクションデータをキャッシュすることで、Azure SQL Databaseへの読み取り負荷を削減し、ユーザーへのレスポンスを高速化できる。CDNは静的コンテンツ向けでありアプリケーションデータのキャッシュには適さない。Traffic ManagerはDNSルーティングのみでキャッシュ機能はない。SQLの読み取りレプリカはDBクエリを引き続き必要とするためキャッシュほどの低遅延は得られない。Table Storageはインメモリキャッシュではない。|Microsoft Learn Azure Cache for Redis documentation|Azure::Caching Azure::Redis Azure::Performance Azure::SQL
既存のIaaS上のSQL ServerからAzure PaaSへ50個のデータベースを移行する計画がある。各データベースのサイズは10GB〜2TBで、使用パターンは予測不能でスパイキーである。計算リソースを動的にスケーリングでき、99.99%のSLAを提供しつつ、最大コストを最小化する必要がある。どのデプロイオプションを推奨すべきか。|単一のAzure SQL Managed Instance|50個の単一Azure SQL Database|複数のElastic Poolに配置されたAzure SQL Database|可用性セット内のAzure VM上のSQL Server|スケールセット内のAzure VM上のSQL Server||||C|Azure SQL DatabaseのElastic Poolは複数のデータベース間でコンピュートリソースを共有できるため、使用量がスパイキーで予測できないワークロードに最適である。負荷が低いデータベースの未使用リソースを、負荷が高いデータベースが利用できるためコスト効率が高い。またAzure SQL DatabaseはPaaSサービスとして99.99%のSLAを提供する。単一データベースを個別にプロビジョニングすると各DBに専用リソースが必要になりコストが高くなる。SQL Managed InstanceやVM上のSQL Serverはリソース共有によるコスト最適化が難しく、管理負荷も高くなる。|Microsoft Learn Azure SQL Elastic Pool documentation|Azure::Database Azure::SQL Azure::ElasticPool Azure::PaaS
外部監査チームが特定のAzure Storageコンテナに対して正確に14日間の読み取り専用アクセスを必要としている。ストレージアカウントキーは共有してはならず、アクセスは自動的に期限切れになる必要がある。どの方法を使用すべきか。|条件付きアクセスポリシー|長期間有効なSASトークンを発行し手動で取り消す|14日間の有効期限を設定した短期SASトークン|Azure ADで個別ユーザーを作成しReaderロールを割り当てる|監査人にX.509証明書を発行する||||C|Shared Access Signature（SAS）トークンは、ストレージアカウントキーを共有せずにAzure Storageリソースへ限定的なアクセスを付与できる仕組みである。読み取り専用権限を指定し、有効期限を14日間に設定することで、監査チームは指定されたコンテナにのみアクセスできる。期限を過ぎるとトークンは自動的に無効になるため追加の管理作業は不要である。条件付きアクセスはストレージコンテナの一時的アクセス制御には適さない。長期間SASを発行して手動で取り消す方法はセキュリティリスクが高い。Azure ADユーザー作成は不要な管理オーバーヘッドを生む。|Microsoft Learn Azure Storage SAS documentation|Azure::Storage Azure::Security Azure::SAS
Azure Cosmos DB SQL API アカウントがある。特定のAzure ADセキュリティグループに対して、データベースアカウント内の単一コンテナへ読み取り専用アクセスを付与する必要がある。メインキーは使用せず、Azure ADベースでアクセスを管理する必要がある。どの構成を設定すべきか。|コンテナ用のリソーストークン|グループに対するCosmos DBアカウントのAzure RBACロール割り当て|コンテナの共有アクセス署名（SAS）|Azure ADパススルー認証|Cosmos DBアカウントのマネージドID||||B|Azure Cosmos DBはAzure ADベースのデータプレーンアクセス制御をサポートしており、Azure RBACを使用してAzure ADユーザーやグループに権限を付与できる。対象のAzure ADセキュリティグループに「Cosmos DB Built-in Data Reader」などのロールを割り当て、スコープを特定のデータベースまたはコンテナに設定することで、単一コンテナへの読み取り専用アクセスを実現できる。これによりメインキーを共有する必要がなくなり、Azure ADを利用した集中管理が可能になる。リソーストークンやSASはキーに依存するため要件に合わない。|Microsoft Learn Azure Cosmos DB RBAC documentation|Azure::CosmosDB Azure::Security Azure::RBAC Azure::AzureAD
Azure Function が Azure Key Vault からシークレットを読み取る必要がある。アプリケーション設定に認証情報を保存してはならず、シークレットのローテーションに関する継続的な管理作業も最小限に抑える必要がある。Azure Function にはどの認証方法を使用すべきか。|アプリ設定にクライアントシークレットを保存したサービスプリンシパル|証明書付きサービスプリンシパル|システム割り当てマネージドID|ユーザー割り当てマネージドID|Key Vaultアクセスキー||||C|システム割り当てマネージドIDはAzureリソースに自動的にAzure ADアイデンティティを提供し、コードやアプリ設定に認証情報を保存する必要がない。Azure Functionにシステム割り当てマネージドIDを有効化し、そのIDにKey Vaultのシークレット取得権限（Key Vault RBACまたはアクセスポリシー）を付与することで安全にアクセスできる。また資格情報のローテーション管理が不要で運用負荷を最小化できる。サービスプリンシパルはシークレットや証明書管理が必要になるため要件に適さない。|Microsoft Learn Azure Managed Identity documentation|Azure::Security Azure::ManagedIdentity Azure::KeyVault Azure::Functions
現在のソリューションでは、WebアプリがAzure Storage Queueにメッセージを送信し、単一のバックエンドプロセッサが処理している。新たに2つの独立したプロセッサ（アーカイブ処理と不正検出処理）を追加し、両方のプロセッサがすべてのメッセージのコピーを受信する必要がある。アーキテクチャを最も効率的にリファクタリングする方法はどれか。|追加のStorage Queueを2つ作成し、Webアプリが3つすべてのキューへメッセージを書き込む|Storage QueueをAzure Service Bus Topicと2つのサブスクリプションに置き換える|Storage QueueをAzure Event Hubに置き換える|Azure Event Gridを使用して元のキューから2つのLogic Appsをトリガーする|Storage QueueをAzure Service Bus Queueに置き換え競合コンシューマーパターンを使用する||||B|Azure Service Bus TopicはPublish/Subscribeパターンを提供し、1つのメッセージを複数のサブスクリプションへ自動的に配信できる。Webアプリはトピックへ1回メッセージを送信するだけでよく、アーカイブ処理用サブスクリプションと不正検出用サブスクリプションの両方が同じメッセージのコピーを受信できる。これによりプロデューサーのロジックを複雑化せず、各プロセッサを独立してスケールさせることが可能になる。Storage QueueやService Bus Queueの競合コンシューマーパターンではメッセージが1つのコンシューマーにのみ処理されるため要件を満たさない。|Microsoft Learn Azure Service Bus Topics documentation|Azure::Messaging Azure::ServiceBus Azure::PubSub Azure::Architecture
ステートレスアプリケーションを実行する50台の同一Azure仮想マシンを展開している。これらの仮想マシンは共有IDを使用してAzure SQL Databaseにアクセスする必要がある。仮想マシンに認証情報を保存せず、サービスプリンシパル管理の運用オーバーヘッドも最小化したい。どのIDを使用すべきか。|クライアントシークレットを持つ単一のサービスプリンシパル|証明書付きの単一のサービスプリンシパル|各仮想マシンにシステム割り当てマネージドID|すべての仮想マシンに割り当てる単一のユーザー割り当てマネージドID|Azure AD 内の個別ユーザーアカウント||||D|共有IDが必要な場合は、複数のAzureリソースに同じIDを割り当てられるユーザー割り当てマネージドIDが最適である。これにより50台すべてのVMで1つの共通IDを使ってAzure SQL Databaseへ認証でき、VMごとに資格情報を保存する必要がない。システム割り当てマネージドIDは各VMごとに別IDとなるため共有IDの要件を満たさない。サービスプリンシパルはシークレットや証明書の管理が必要で運用負荷が増える。|Microsoft Learn Managed identities for Azure resources; Microsoft Learn Managed identity best practice recommendations|Azure::Identity Azure::ManagedIdentity Azure::VirtualMachines Azure::SQL
Contosoは単一テナントのAzure ADに登録された社内アプリを持っている。Fabrikamの従業員が、Fabrikamの既存Azure AD資格情報を使用してContosoアプリへアクセスできる必要がある。ただしContosoテナントにゲストアカウントを作成してはならない。アプリケーションをどのように再構成すべきか。|アプリ登録をマルチテナントに変更しアプリケーションコードを更新する|ContosoとFabrikamのAzure ADテナント間で双方向信頼を構築する|Azure AD B2BでFabrikamユーザーをゲストとして招待する|Azure AD Entitlement Managementを実装する|FabrikamをIDプロバイダーとしてSAML認証を構成する||||A|Azure ADアプリ登録をマルチテナントに変更すると、他のAzure ADテナント（Fabrikamなど）のユーザーが自分の組織の資格情報を使用してアプリへサインインできるようになる。認証はユーザーのホームテナントで行われるため、Contosoテナントにゲストアカウントを作成する必要がない。B2Bはゲストアカウントを作成するため要件に合わない。Entitlement Managementはアクセス管理用であり認証方式を変更するものではない。|Microsoft Learn Azure AD multi-tenant applications documentation|Azure::Identity Azure::AzureAD Azure::AppRegistration Azure::Multitenant
セキュリティチームは、過去12か月間に本番サブスクリプションでAzureリソースに対して実行されたすべての「書き込み」操作（作成、更新、削除）の詳細で検索可能な監査ログを必要としている。この情報を取得するためにどのAzureサービスを問い合わせるべきか。|Azure Resource Graph|Azure Monitor Metrics|Azure Activity Log|Azure Advisor Recommendations|Azure Service Health||||C|Azure Activity Logはサブスクリプションレベルで実行された管理プレーン操作（作成・更新・削除など）を記録する監査ログである。各操作について、実行者（caller）、操作名、対象リソース、時刻、成功/失敗などの詳細が記録されるため、「誰が」「いつ」「どのリソースに対して」「どんな操作を行ったか」を追跡できる。これらのログはLog AnalyticsやStorageへエクスポートして長期間保持し、検索可能な監査証跡として利用できる。Resource Graphはリソースの現在状態のインベントリ用であり履歴イベントではない。Metricsはパフォーマンスデータのみで監査には使えない。|Microsoft Learn Azure Activity Log documentation|Azure::Monitoring Azure::ActivityLog Azure::Governance Azure::Audit
毎月Power BIレポートを作成する必要がある。このレポートでは、Azureサブスクリプション全体で過去30日間にデプロイされたすべての新しい仮想マシンを表示し、リソースグループ、リージョン、VMサイズなどのメタデータを含める必要がある。このデプロイメントメタデータの最適なソースはどのAzureサービスか。|Azure Resource Graph|Azure Cost Management|Azure Monitor Logs|Azure Advisor|Azure Policy Compliance||||A|Azure Resource Graphは複数のサブスクリプションにまたがるAzureリソースのインベントリデータを高速にクエリできるサービスであり、リソースグループ、リージョン、リソースタイプ、VMサイズなどのメタデータを取得できる。Kustoクエリを使用して仮想マシンリソース（Microsoft.Compute/virtualMachines）を検索し、作成日時やプロパティを基に過去30日間に作成されたVMを抽出できる。またPower BIから直接クエリ可能であり、月次レポートのデータソースとして最適である。Cost Managementはコスト情報中心、Monitor Logsはログ収集が必要、AdvisorやPolicyはメタデータインベントリ用途ではない。|Microsoft Learn Azure Resource Graph documentation|Azure::Governance Azure::ResourceGraph Azure::Reporting Azure::PowerBI
オンプレミスのSQL Serverデータベース200件をAzureに移行している。データベースではCLRアセンブリ、クロスデータベースクエリ、SQL Server Agentジョブが使用されている。最大のデータベースは8TBである。主な目標は、ほぼ100%の機能互換性を維持しながら、再設計作業と管理オーバーヘッドを最小限に抑えることである。どのAzureサービスを推奨すべきか。|Azure SQL Database（単一データベース）|Azure SQL Database（Hyperscale）|Azure Virtual Machines上のSQL Server|Azure SQL Managed Instance|Azure Synapse Analytics||||D|Azure SQL Managed InstanceはオンプレミスSQL Serverとの高い互換性を提供するPaaSサービスであり、CLRアセンブリ、クロスデータベースクエリ、SQL Server Agentジョブなどの多くの機能をサポートする。これにより既存のアプリケーションやデータベースコードをほぼ変更せずに移行できる。また自動バックアップ、パッチ適用、高可用性などの管理機能が組み込まれているため、SQL ServerをAzure VMで運用する場合よりも管理オーバーヘッドを削減できる。単一Azure SQL DatabaseやHyperscaleはSQL Server Agentや一部機能に制限があるため大規模な再設計が必要になる。|Microsoft Learn Azure SQL Managed Instance overview; Microsoft Learn SQL Server migration to Azure SQL Managed Instance|Azure::Database Azure::SQL Azure::ManagedInstance Azure::Migration
オンプレミスのNASデバイス上に50TBのアーカイブ済み財務データがある。このデータをAzure Blob Storageのアーカイブ階層へ移行する必要がある。企業のWAN回線はこの規模のデータ転送には遅く不安定である。データをAzureへ物理的に配送する方法として正しいものを2つ選べ。|Azure Data Box Disk|Azure Import/Export サービス|セルフホステッド統合ランタイム付きAzure Data Factory|VPN経由のAzCopy|Azure Data Box Heavy||||B E|Azure Import/Export サービスは、暗号化した自社ディスクをAzureデータセンターへ発送してAzure Blob Storageへ大量データをインポートできる。Azure Data Box HeavyはMicrosoft提供の大容量オフライン転送デバイスで、ネットワーク帯域が不足する大規模データ移行向けであり、50TB規模のデータ転送に適している。Azure Data FactoryやAzCopy over VPNはオンライン転送であり、「物理的に送る」要件を満たさない。Azure Data Box Diskも物理配送手段ではあるが、1回あたり約35TBまでで、50TB規模ではより適切なのはData Box Heavyである。|Microsoft Learn Azure Import/Export service; Microsoft Learn Azure Data Box Heavy overview; Microsoft Learn Azure Data Box Disk overview|Azure::Storage Azure::BlobStorage Azure::Migration Azure::DataTransfer Azure::DataBox Azure::ImportExport
内部WebアプリはAzure ADにシングルテナントアプリとして登録されている。提携企業の従業員がアプリにアクセスする必要があるが、ゲストユーザーとしてディレクトリに追加せず、各自のAzure ADアカウントでサインインさせたい。必要な構成変更はどれか。|Azure AD のクロステナントアクセス設定を有効にする|アプリ登録の「サポート済みアカウントタイプ」を「任意の組織ディレクトリ内のアカウント」に変更する|Azure AD B2B Direct Connect を構成する|2つのAzure ADテナント間でフェデレーション信頼を作成する|Azure AD エンタイトルメント管理でアクセスパッケージを作成する||||A|Azure AD のクロステナントアクセス設定は、外部Azure ADテナントのユーザーが自分のテナント資格情報を使用して別テナントのリソースにアクセスできるようにする機能である。これにより、ゲストユーザーとしてディレクトリに追加せずに、パートナー組織のユーザーが自分のAzure ADアカウントでアプリにサインインできる。Bはアプリをマルチテナント化する設定であり、この問題の前提であるシングルテナント構成とは異なる。|Microsoft Learn Cross-tenant access settings; Microsoft Learn Azure AD external identities overview|Azure::Identity Azure::AzureAD Azure::ExternalIdentities Azure::Security
Azureサブスクリプションのコスト配分を管理する必要があり、5,000以上のリソースが複数のビジネスユニットに存在する。「CostCenter」と「ProjectCode」を含むタグを自動的に適用し、これらのタグが欠落しているリソースを示すコンプライアンスレポートも生成する必要がある。どのソリューションを実装すべきか。|アラートルール付きAzure Budgets|Azure Cost Management を Power BI にエクスポート|Audit と Deny 効果を持つ Azure Policy|Logic Apps でスケジュールされた Resource Graph クエリ|管理グループ階層によるサブスクリプション整理||||C|Azure Policyはリソースの作成や更新時にタグ要件を強制できるガバナンス機能である。Deny効果を使用すれば必須タグ（CostCenter、ProjectCode）がないリソースの作成や更新をブロックでき、Audit効果を使用すれば既存リソースのコンプライアンス評価を行い、タグが欠落しているリソースのレポートを生成できる。これによりタグ構造の自動適用とコンプライアンスレポートの両方を実現できる。|Microsoft Learn Azure Policy overview; Microsoft Learn Tag governance with Azure Policy|Azure::Governance Azure::Policy Azure::Tagging Azure::CostManagement
従来のWebアプリケーションは変更できない独自のトークンベース認証を使用している。このアプリをAzure ADと統合し、アプリのコードや認証方式を変更せずにユーザーへシングルサインオン(SSO)を提供する必要がある。Azure ADでどのSSOタイプを設定すべきか。|SAMLベースのSSO|OpenID Connect|パスワードベースのSSO|リンクベースのSSO|ヘッダーベースのSSO||||A|SAMLベースのSSOは、既存のWebアプリケーションとAzure ADをフェデレーション方式で統合する標準的な方法である。Azure ADがIdentity Provider(IdP)としてユーザーを認証し、SAMLアサーションをアプリケーションへ送信することで、アプリケーションのコードや認証方式を変更せずにSSOを実現できる。OpenID Connectはアプリ側の変更が必要になる場合が多く、パスワードベースSSOやリンクベースSSOは推奨されないか標準方式ではない。|Microsoft Learn Azure AD single sign-on SAML; Microsoft Learn Azure AD enterprise application SSO overview|Azure::Identity Azure::AzureAD Azure::SSO Azure::Security
15種類の内部Webアプリケーションへのアクセスを管理する必要がある。アクセスは動的なプロジェクトチームのメンバーシップに基づいて付与される。プロジェクトマネージャーは90日ごとにアクセスをレビューし、未承認ユーザーを自動的に削除できる必要がある。どのAzure AD機能を使用すべきか。|Azure AD Identity Protection|Azure AD Access Reviews|Azure AD Privileged Identity Management|Azure AD Conditional Access|Azure AD Entitlement Management||||B|Azure AD Access Reviewsは、グループやアプリケーションへのアクセス権を定期的にレビューするためのIdentity Governance機能である。レビュー担当者（例：プロジェクトマネージャー）が一定期間（例：90日ごと）にアクセスを承認または拒否でき、未承認または未応答のユーザーを自動的に削除する設定が可能である。これにより動的なチームメンバーシップに基づいたアプリケーションアクセスの継続的なガバナンスを実現できる。|Microsoft Learn Azure AD Access Reviews; Microsoft Learn Identity Governance in Azure AD|Azure::Identity Azure::AzureAD Azure::Governance Azure::AccessReviews
